Pressure Zone,MNF,Industrial Usage,Reliability
P_BULLI_RED_1,6.70253590488289,0.108070051,1
P_CORRIMAL_RED_1,6.58930559226068,0.067571169,1
P_MT_KEIRA_RED_2,11.8176462569136,0.037274732,1
P_BERKELEY_RED_6,9.74125153431066,0.193347705,1
P_MT_KEIRA_RED_1,6.67852374404655,0.053752168,1
P_BERKELEY_RED_12,-0.0091855288732836,0.013526431,0
P_BERKELEY_RED_11,3.11058542544075,0.00731722,0
P_BERKELEY_RED_8,4.32477407352573,0.01556079,0
P_BERKELEY_RED_13,6.07365461811604,0.049899335,1
P_BERKELEY_RED_9,5.04483388575329,0.003524057,1
P_BERKELEY_RED_2,7.65564722896789,0.088185253,1
P_BERKELEY_RED_3,4.00514504492315,0.019814568,1
P_OAK_FLATS_RED_1,5.81727393363801,0.164062723,1
P_OAK_FLATS_RED_3,1.62047856456596,0.011702051,1
P_OAK_FLATS_RED_2,7.54974415732757,0.118827872,1
P_MT_TERRY_RED_1,11.9356033801495,0.054553689,1
P_DAPTO_RED_1,5.70366763851109,0.056700292,1
P_WONGAWILLI_RED_1,6.08925110642901,0.070087732,1
P_DAPTO_RED_5,1.84164662630953,0.030904709,0
P_DAPTO_RED_6,5.45259269552328,0.108006468,1
P_DAPTO_RED_4,4.6243712718408,0.004248181,1
P_DAPTO_RED_3,13.1643767912217,0.12036899,1
P_MT_TERRY_RED_2,5.02158426630883,0.007533436,1
P_MT_TERRY_RED_3,7.12011482549622,0.123231966,1
P_STONEY_RANGE,2.60418552445779,0.01041959,1
P_KIAMA_REM,11.3090821704318,0.19892256,0
P_GERRINGONG_RED_3,5.20654161376207,0.196614106,0
P_KIAMA_RED_1,4.18210715842029,0.041503997,1
P_ROGANS_HILL_DMA_1,14.2080925932926,0.253509036,1
P_DURAL_SOUTH_RED_1,68.5161382462154,0.223732417,1
P_DURAL_SOUTH_RED_2,32.1145770326125,0.214013847,0
P_NEWPORT_RED_2,11.7607634786792,0.234243275,1
P_TERREY_HILLS_EL,37.9322159029369,0.387959917,1
P_DURAL_EL_REM,43.4601946559363,0.370382498,0
P_SOUTH_WINDSOR_EL,-26.2408978662303,0.267605534,0
P_WILBERFORCE_EL,9.11413405693611,0.330594226,1
P_DURAL_SOUTH_RED_3,27.0179174863292,0.219138882,0
P_OAKVILLE_EL,10.5409636627603,0.304364204,1
P_NORTH_RICHMOND,-6.4178741504142,0.29118604,1
P_BULLABURRA_RED_2,3.70632741294693,0.287515915,1
P_CATALINA_RED_1,8.56696184435459,0.373641899,1
P_CATALINA_REM,8.54301065008567,0.264945696,1
P_PICTON,24.1847592737743,0.353684583,0
P_PROSPECT_HILL_RED_1,24.6349631120298,0.216017324,1
P_LUCAS_HEIGHTS,13.7602822921766,0.2735764,0
P_NARELLAN_SOUTH_REM,8.86473481261713,0.207547335,1
P_MINCHINBURY_REM,18.0428862614761,0.215203143,1
P_ERSKINE_PARK_EL,20.6765725271336,0.250881639,0
P_BRINGELLY_ROAD_REM,21.9039743995769,0.247970414,1
P_ORCHARD_HILLS_RED_1,6.35459059070899,0.208989358,0
P_EMU_PLAINS_REM,-0.795017779302244,0.317593843,1
P_PROSPECT_HILL_REM,12.6561401843858,0.264800032,1
P_MT_DOROTHY,16.1225278833253,0.34117449,1
P_WETHERILL_PARK_REM,26.2486127651529,0.345849605,1
P_MINCHINBURY_RED_3,9.39557226167408,0.274393614,1
P_GUILDFORD_GRAV,11.7036457819532,0.271108566,1
P_MILPERRA_GRAV,9.28635674848349,0.270651866,0
P_MT_PRITCHARD,46.663570035793,0.319815126,1
P_HAMMONDVILLE_EL,11.8451009336557,0.250006635,0
P_LIVERPOOL_RED_1,19.5951801096571,0.250973472,1
P_SILVERWATER_GRAV,0.0,0.326353718,0
P_CHATSWOOD_REM,0.599216920794259,0.361086241,0
P_RYDE_GRAV,-16.6359808681529,0.374192722,1
P_CANTERBURY_GRAV,22.534333237625,0.232468342,1
P_PETERSHAM_EL_REM,6.27201681824857,0.343056647,1
P_MOBBS_HILL_RED_1,26.0425977637502,0.21464815,1
P_KILLARA_REM,7.3750417381914,0.203827083,1
P_WEST_PENNANT_HILLS_REM,-25.6371589083578,0.261968167,1
P_WAHROONGA_RED_8,17.5205920850923,0.254057569,1
P_CHATSWOOD_RED_1,15.3143965950696,0.276562712,1
P_BEACON_HILL_RED_1,0.0,0.206688903,0
P_WARRINGAH_REM,86.0995560819265,0.23603235,1
P_BELROSE_REM,-3.41404414302838,0.271709668,1
